rank,pos,player,team,value,tier,ppr12,note
1,RB,Jahmyr Gibbs,DET,57,1,51,
2,RB,Bijan Robinson,ATL,57,1,51,
3,WR,Puka Nacua,LAR,51,1,52,"groin soreness in camp, back at practice, expected Wk1"
4,WR,Ja'Marr Chase,CIN,50,1,51,
5,WR,Jaxon Smith-Njigba,SEA,47,1,48,
6,RB,Christian McCaffrey,SF,47,2,43,late-Aug 'tightness'; age 30 - price the risk
7,WR,Amon-Ra St. Brown,DET,45,1,46,
8,RB,Jonathan Taylor,IND,42,2,38,
9,WR,Drake London,ATL,36,2,38,
10,RB,James Cook,BUF,36,3,33,
11,WR,Justin Jefferson,MIN,32,3,34,
12,WR,CeeDee Lamb,DAL,32,3,34,
13,RB,Omarion Hampton,LAC,32,3,30,
14,RB,Saquon Barkley,PHI,32,3,30,
15,WR,Chris Olave,NO,31,3,33,
16,RB,Ashton Jeanty,LV,31,3,29,"ankle sprain; on 53-man, no return date as of Sep 2 - discount"
17,RB,Chase Brown,CIN,31,3,29,
18,RB,De'Von Achane,MIA,30,3,28,
19,RB,Kenneth Walker,KC,29,4,27,
20,WR,Rashee Rice,KC,28,3,30,
21,WR,Nico Collins,HOU,28,3,30,
22,RB,Derrick Henry,BAL,28,4,26,
23,WR,A.J. Brown,NE,27,3,29,
24,RB,Jeremiyah Love,ARI,27,4,25,
25,RB,Breece Hall,NYJ,27,4,25,"groin strain, expected Wk1"
26,WR,Garrett Wilson,NYJ,26,3,28,
27,TE,Brock Bowers,LV,26,1,28,
28,RB,Kyren Williams,LAR,25,4,24,
29,QB,Josh Allen,BUF,24,1,26,
30,WR,George Pickens,DAL,24,4,26,
31,WR,DeVonta Smith,PHI,24,4,26,
32,TE,Trey McBride,ARI,24,1,26,
33,RB,Josh Jacobs,GB,24,4,23,"groin, expected to play Wk1"
34,RB,Cam Skattebo,NYG,23,5,22,
35,WR,Zay Flowers,BAL,22,4,25,"quad contusion, day-to-day as of Sep 2"
36,RB,Javonte Williams,DAL,22,5,21,
37,RB,Bucky Irving,TB,21,5,20,
38,WR,Malik Nabers,NYG,20,4,23,"back from ACL; expected Wk1, ramp risk"
39,WR,Emeka Egbuka,TB,19,5,22,"toe sprain, expected Wk1"
40,WR,Tetairoa McMillan,CAR,19,5,22,
41,WR,Davante Adams,LAR,18,5,21,
42,WR,Jameson Williams,DET,18,5,21,
43,RB,Travis Etienne,NO,18,5,18,
44,RB,D'Andre Swift,CHI,18,5,18,
45,WR,Ladd McConkey,LAC,16,5,19,
46,WR,Jaylen Waddle,DEN,16,5,19,
47,RB,Bhayshul Tuten,JAC,16,5,16,
48,WR,Tee Higgins,CIN,15,5,18,
49,RB,Quinshon Judkins,CLE,15,5,15,
50,WR,Christian Watson,GB,14,5,17,
51,WR,D.J. Moore,BUF,14,5,17,
52,WR,Mike Evans,SF,14,5,17,
53,WR,Rome Odunze,CHI,14,5,17,
54,WR,Luther Burden III,CHI,14,5,17,"groin, Bears optimistic for Wk1"
55,WR,Terry McLaurin,WAS,13,5,16,
56,WR,DK Metcalf,PIT,13,5,16,
57,TE,Colston Loveland,CHI,13,2,16,
58,RB,David Montgomery,HOU,13,6,13,
59,WR,Marvin Harrison Jr.,ARI,11,6,14,
60,TE,Tyler Warren,IND,11,3,14,"groin, likely Wk1; practice ramp questioned"
61,RB,TreVeyon Henderson,NE,11,6,12,"ankle, expected Wk1"
62,RB,Jaylen Warren,PIT,11,6,12,
63,RB,Tony Pollard,TEN,11,6,12,
64,QB,Drake Maye,NE,10,2,13,
65,QB,Lamar Jackson,BAL,10,2,13,
66,QB,Jalen Hurts,PHI,10,2,13,
67,WR,Michael Pittman Jr.,PIT,10,6,13,
68,TE,Harold Fannin Jr.,CLE,10,3,13,
69,RB,Jadarian Price,SEA,10,6,11,
70,RB,Rhamondre Stevenson,NE,10,6,11,
71,RB,Chuba Hubbard,CAR,10,6,11,
72,RB,J.K. Dobbins,DEN,10,6,11,
73,QB,Joe Burrow,CIN,9,2,12,
74,WR,Courtland Sutton,DEN,9,6,12,
75,WR,Jayden Reed,GB,9,6,12,
76,WR,Alec Pierce,IND,9,6,12,"ankle post-surgery, gradual workload"
77,RB,Rachaad White,WAS,9,6,10,
78,TE,Kyle Pitts,ATL,8,3,11,
79,RB,Rico Dowdle,PIT,8,6,9,
80,RB,Jonathon Brooks,CAR,8,6,9,
81,RB,RJ Harvey,DEN,8,6,9,
82,WR,Carnell Tate,TEN,7,6,11,
83,RB,Aaron Jones,MIN,7,7,8,
84,RB,Kenneth Gainwell,TB,7,7,8,
85,WR,Jakobi Meyers,JAC,6,7,10,
86,WR,Chris Godwin,TB,6,7,10,
